,시설장명,시설면적,구주소,신주소,주소,본번,부번,시군구,읍면동,공시지가
0,월드컵경기장,473293.0,전북특별자치도 전주시 덕진구 반월동 763-1,전북특별자치도 전주시 덕진구 기린대로 1055,전북특별자치도 전주시 덕진구 반월동,763,1,덕진구,반월동,331000.0
1,월드컵골프장,154139.0,전북특별자치도 전주시 덕진구 장동 531-1,전북특별자치도 전주시 덕진구 온고을로 672,전북특별자치도 전주시 덕진구 장동,531,1,덕진구,장동,331000.0
2,서바이벌경기장,1460.0,전북특별자치도 전주시 덕진구 반월동 763-1,전북특별자치도 전주시 덕진구 기린대로 1055,전북특별자치도 전주시 덕진구 반월동,763,1,덕진구,반월동,331000.0
3,종합경기장 육상장,15670.0,전북특별자치도 전주시 덕진구 덕진동1가 1220-1,전북특별자치도 전주시 덕진구 기린대로 451,전북특별자치도 전주시 덕진구 덕진동1가,1220,1,덕진구,덕진동,578000.0
4,종합경기장 축구장,7933.0,전북특별자치도 전주시 덕진구 덕진동1가 1220-1,전북특별자치도 전주시 덕진구 기린대로 451,전북특별자치도 전주시 덕진구 덕진동1가,1220,1,덕진구,덕진동,578000.0
5,종합경기장 야구장,14476.0,전북특별자치도 전주시 덕진구 덕진동1가 1220-1,전북특별자치도 전주시 덕진구 기린대로 451,전북특별자치도 전주시 덕진구 덕진동1가,1220,1,덕진구,덕진동,578000.0
6,"화산체육관 종합관(배드민턴,농구,탁구)",4685.0,전북특별자치도 전주시 완산구 중화산동2가 산 45,전북특별자치도 전주시 완산구 백제대로 310,전북특별자치도 전주시 완산구 중화산2동 산,45,,완산구,중화산2동,344799.75757575757
7,화산체육관 실내골프장,790.0,전북특별자치도 전주시 완산구 중화산동2가 산 45,전북특별자치도 전주시 완산구 백제대로 310,전북특별자치도 전주시 완산구 중화산동2가 산,45,,완산구,중화산2동,344799.75757575757
8,화산체육관 빙상경기장,4362.0,전북특별자치도 전주시 완산구 중화산동2가 산 45,전북특별자치도 전주시 완산구 백제대로 310,전북특별자치도 전주시 완산구 중화산동2가 산,45,,완산구,중화산2동,344799.75757575757
9,완산수영장,1050.0,전북특별자치도 전주시 완산구 효자동2가 235-1,전북특별자치도 전주시 완산구 쑥고개로 366-7,전북특별자치도 전주시 완산구 효자동2가,235,1,완산구,효자2동,671100.0
10,덕진수영장,1050.0,전북특별자치도 전주시 덕진구 덕진동1가 1282-2,전북특별자치도 전주시 덕진구 들사평로 50,전북특별자치도 전주시 덕진구 덕진동1가,1282,2,덕진구,덕진동,578000.0
11,덕진체련공원 족구장,26.0,전북특별자치도 전주시 덕진구 덕진동1가 73-24,전북특별자치도 전주시 덕진구 소리로 54,전북특별자치도 전주시 덕진구 덕진동1가,73,24,덕진구,덕진동,43900.0
12,덕진체련공원 농구장,608.0,전북특별자치도 전주시 덕진구 덕진동1가 73-24,전북특별자치도 전주시 덕진구 소리로 54,전북특별자치도 전주시 덕진구 덕진동1가,73,24,덕진구,덕진동,43900.0
13, 덕진체련공원 테니스장,260.7569,전북특별자치도 전주시 덕진구 덕진동1가 73-24,전북특별자치도 전주시 덕진구 소리로 54,전북특별자치도 전주시 덕진구 덕진동1가,73,24,덕진구,덕진동,43900.0
14,덕진체련공원 축구장,6400.0,전북특별자치도 전주시 덕진구 덕진동1가 73-24,전북특별자치도 전주시 덕진구 소리로 54,전북특별자치도 전주시 덕진구 덕진동1가,73,24,덕진구,덕진동,43900.0
15,덕진체련공원 실내배드민턴장,81.74,전북특별자치도 전주시 덕진구 덕진동1가 73-24,전북특별자치도 전주시 덕진구 소리로 54,전북특별자치도 전주시 덕진구 덕진동1가,73,24,덕진구,덕진동,43900.0
16,덕진체련공원 풋살구장,800.0,전북특별자치도 전주시 덕진구 덕진동1가 73-24,전북특별자치도 전주시 덕진구 소리로 54,전북특별자치도 전주시 덕진구 덕진동1가,73,24,덕진구,덕진동,43900.0
17,아중체련공원 축구장,6100.0,전북특별자치도 전주시 덕진구 인후동1가 16,전북특별자치도 전주시 덕진구 한배미6길 23,전북특별자치도 전주시 덕진구 인후동1가,16,,덕진구,인후1동,479944.4171779141
18,아중체련공원 풋살구장,850.0,전북특별자치도 전주시 덕진구 인후동1가 16,전북특별자치도 전주시 덕진구 한배미6길 23,전북특별자치도 전주시 덕진구 인후동1가,16,,덕진구,인후1동,479944.4171779141
19,아중체련공원 족구장,384.0,전북특별자치도 전주시 덕진구 인후동1가 16,전북특별자치도 전주시 덕진구 한배미6길 23,전북특별자치도 전주시 덕진구 인후동1가,16,,덕진구,인후1동,479944.4171779141
20,완산생활체육공원 축구장,7140.0,전북특별자치도 전주시 완산구 중인동 361-1,전북특별자치도 전주시 완산구 모악산자락길 22,전북특별자치도 전주시 완산구 중인동,361,1,완산구,중인동,70700.0
21,완산생활체육공원 유소년축구장,4320.0,전북특별자치도 전주시 완산구 중인동 361-1,전북특별자치도 전주시 완산구 모악산자락길 22,전북특별자치도 전주시 완산구 중인동,361,1,완산구,중인동,70700.0
22,완산생활체육공원 야외테니스장,697.5269,전북특별자치도 전주시 완산구 중인동 361-1,전북특별자치도 전주시 완산구 모악산자락길 22,전북특별자치도 전주시 완산구 중인동,361,1,완산구,중인동,70700.0
23,완산생활체육공원 배구장,608.0,전북특별자치도 전주시 완산구 중인동 361-1,전북특별자치도 전주시 완산구 모악산자락길 22,전북특별자치도 전주시 완산구 중인동,361,1,완산구,중인동,70700.0
24,완산생활체육공원 배드민턴장,1717.0,전북특별자치도 전주시 완산구 중인동 361-1,전북특별자치도 전주시 완산구 모악산자락길 22,전북특별자치도 전주시 완산구 중인동,361,1,완산구,중인동,70700.0
25,완산생활체육공원 농구장,828.0,전북특별자치도 전주시 완산구 중인동 361-1,전북특별자치도 전주시 완산구 모악산자락길 22,전북특별자치도 전주시 완산구 중인동,361,1,완산구,중인동,70700.0
26,완산생활체육공원 인공암벽장,3017.0,전북특별자치도 전주시 완산구 중인동 361-1,전북특별자치도 전주시 완산구 모악산자락길 22,전북특별자치도 전주시 완산구 중인동,361,1,완산구,중인동,70700.0
27,완산생활체육공원 족구장,1592.5,전북특별자치도 전주시 완산구 중인동 361-1,전북특별자치도 전주시 완산구 모악산자락길 22,전북특별자치도 전주시 완산구 중인동,361,1,완산구,중인동,70700.0
28,실내체육관,6800.0,전북특별자치도 전주시 덕진구 덕진동1가 664-14,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 덕진동1가,664,14,덕진구,덕진동,437000.0
29,전주 승마장,10365.0,전북특별자치도 전주시 덕진구 호성동1가 720,전북특별자치도 전주시 덕진구 호성로 19,전북특별자치도 전주시 덕진구 호성동1가,720,,덕진구,호성동,385978.99159663863
30,자전거 경륜장,13636.0,전북특별자치도 전주시 완산구 효자동3가 1310-1,전북특별자치도 전주시 완산구 백마산길 22-14,전북특별자치도 전주시 완산구 효자동3가,1310,1,완산구,효자3동,357700.0
